DEPARTAMENTO,CIUDAD,NOMBRE CONCESIONARIO,NOMBRE EMISORA,CODIGO EMISORA,DISTINTIVO,FRECUENCIA,BANDA,"CLASE DE
EMISORA"
ANTIOQUIA,MEDELLÍN,ORGANIZACIÓN RADIAL OLÍMPICA S.A.,RADIO OLIMPICA FM ESTEREO,51894,HJFK,104.9 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,RADIO CADENA NACIONAL S.A.S,RADIO PAISA LA CARI?OSA,51506,HJDL,1140 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,P Y C INVERSIONES S.A,RADIO RED,51531,HJNX,710 kHz,AM,COMERCIAL
ANTIOQUIA,SANTA BÁRBARA,NATALIA Y SUSANA CASTAÑEDA RAMÍREZ-RADIO SANTA BARBARA,RADIO SANTA BARBARA,51524,HJLM,1310 kHz,AM,COMERCIAL
ANTIOQUIA,YARUMAL,PROYECTOS & SERVICIOS ESPECIALIZADOS S.A.S,RADIO SENSACION YARUMAL,51847,HJPK,1430 kHz,AM,COMERCIAL
ANTIOQUIA,RIONEGRO,"DIÓCESIS DE SONSÓN, RIONEGRO",RADIO SINIGUAL F.M ESTEREO,52036,HJUP,93.3 MHz,FM,COMERCIAL
ANTIOQUIA,SONSÓN,COOPERATIVA SERVICOOPS,RADIO SONSÓN,51526,HJTC,1490 kHz,AM,COMERCIAL
ANTIOQUIA,CONCORDIA,RADIO DIFUSORA LA PAZ S.A.S,RADIO SUROESTE,51528,HJMB,1280 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,CHAR DIAZ S.A.S,RADIO TIEMPO FM ESTEREO,52632,HJG55,105.9 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,RADIO CADENA NACIONAL S.A.S,RADIO UNO,51865,HJSX,93.9 MHz,FM,COMERCIAL
ANTIOQUIA,LA CEJA,RADIO CADENA NACIONAL S.A.S,RADIO UNO,52091,HJYJ,97.3 MHz,FM,COMERCIAL
ANTIOQUIA,FREDONIA,RADIO CADENA NACIONAL S.A.S,RADIO UNO,52169,HJB88,91.3 MHz,FM,COMERCIAL
