DEPARTAMENTO;CIUDAD;NOMBRE CONCESIONARIO;NOMBRE EMISORA;CODIGO EMISORA;DISTINTIVO;FRECUENCIA;BANDA;"CLASE DE
EMISORA"
ANTIOQUIA;JERICO;CORPORACION ANTENA PARABOLICA JERICO;EMISORA COMUNITARIA EN JERICO;54235;HKA88;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;PEQUE;MUNICIPIO DE PEQUE;PARAMILLO STEREO;53667;HJR68;89.1 MHz;FM;INTERES PUBLICO
ANTIOQUIA;ABEJORRAL;ASOCIACION COMUNITARIA ABEJORRAL EN MARCHA;ABEJORRAL STEREO;52194;HKA29;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN VICENTE;ASOCIACION MUNICIPAL JUNTA DE ACCION COMUNAL DEL MUNICIPIO DE SAN VICENTE;AMBIENTE ESTEREO;52233;HKB41;88.5 MHz;FM;COMUNITARIA
ANTIOQUIA;ANGELOPOLIS;CORPORACION COMUNICA LOS HOMBRES;ANGELOPOLIS ESTEREO;52196;HKA35;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ANORI;PARROQUIA SAN LUIS GONZAGA DE ANORI;ANORI ESTEREO ;53396;HKA37;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;APARTADO;CORPORACION COMUNICAR;ANTENA STEREO;52197;HKA40;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ARGELIA;ASOCIACION COMUNITARIA LOS ARRIEROS;ARGELIA STEREO;52199;HKA42;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ARMENIA;CORPORACION LA VOZ DE ARMENIA MANTEQUILLA;ARMENIA ESTEREO;52718;HKA43;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;EL SANTUARIO;ASOCIACION MUNICIPAL DE JUNTAS DE ACCION COMUNAL DE EL SANTUARIO;ASOCOMUNAL ESTEREO 89.4;52236;HKB43;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;EL CARMEN DE VIBORAL;CORPORACION RADIAL DE ORIENTE CORPORIENTE;AZULINA;52210;HKA60;88.4 MHz;FM;COMUNITARIA
